,Thrust,Power,Time
0,1.1228909492492676,22.160282975168684,0.00046300003305077553
1,0.9957408905029297,20.719819918745088,0.022045500052627176
2,0.878158688545227,17.146399082571406,0.04352040000958368
3,0.7755641341209412,15.167507147738206,0.065342900052201
4,0.6822356581687927,13.441197960428553,0.08731940004508942
5,0.6080824136734009,11.931869077519082,0.10903970000799745
6,0.547391951084137,10.536929058979467,0.13084140000864863
7,0.47147002816200256,9.427281789131257,0.15245480003068224
8,0.44514432549476624,8.303569980306065,0.1739377000485547
9,0.4248870611190796,7.680430189141532,0.19557420001365244
10,0.42409732937812805,7.620814034564546,0.21732730005169287
11,0.45311427116394043,8.004177516326308,0.23911810002755374
12,0.4746983051300049,8.433630509347495,0.2611748000490479
13,0.5780653357505798,9.94792615778806,0.2826799000031315
14,0.6373197436332703,11.996592710235177,0.3042719000368379
15,0.748953104019165,15.157624684529992,0.3262599000008777
16,0.8565346598625183,17.99105608402715,0.34793770004762337
17,0.9613421559333801,21.055935981861694,0.36946400004671887
18,1.0568652153015137,23.78739277020395,0.39116900000954047
19,1.161116600036621,27.04129982175118,0.413266800052952
20,1.2297917604446411,29.125225540579095,0.4346588000189513
21,1.3148386478424072,32.00893081776758,0.4562682000105269
22,1.3870304822921753,33.94939674581747,0.47818100004224107
23,1.4333815574645996,35.575853271812775,0.4997902000322938
24,1.4856265783309937,37.10770675071399,0.5210668000509031
25,1.5440728664398193,39.20493675493253,0.5432203000527807
26,1.5915172100067139,40.80339007884686,0.5652409000322223
27,1.6316335201263428,42.37149221290565,0.5866892000194639
28,1.6548796892166138,42.9359497778064,0.6083884000545368
29,1.6776684522628784,42.90897297680658,0.6308740000240505
30,1.6598355770111084,42.191253284650884,0.6526017000433058
31,1.6730660200119019,42.460583883170784,0.6740174000151455
32,1.692455530166626,42.705756382163145,0.696276200003922
33,1.7020230293273926,43.24062242406626,0.7180020000087097
34,1.7064290046691895,43.693664255729345,0.7399340000119992
35,1.7027268409729004,43.29420863822634,0.7619197000167333
36,1.6797525882720947,42.11096227740745,0.7836129000061192
37,1.6813839673995972,41.925524221099295,0.8053805000381544
38,1.6605726480484009,41.00189278111429,0.8274290000554174
39,1.6300195455551147,39.73792750901339,0.8488087000441737
40,1.5855377912521362,38.39334593039712,0.8707645000540651
41,1.5186296701431274,37.08474808248866,0.8923253000248224
42,1.4502354860305786,33.53346740469533,0.9139379000407644
43,1.3935819864273071,31.798480775470125,0.9356366000138223
44,1.3346219062805176,29.83201934066915,0.956892800051719
45,1.2804380655288696,28.427430804372307,0.9788659000187181
46,1.227987289428711,26.7070597913073,1.0005383000243455
47,1.1632078886032104,25.49948901458947,1.0219754000427201
48,1.1154011487960815,23.497069949662546,1.043708500044886
49,1.0778486728668213,22.302997436336227,1.0660381000488997
50,1.0427559614181519,21.18580593619845,1.0875660000019707
51,1.0129793882369995,20.298259335125294,1.1094021000317298
52,0.9970899224281311,19.54231531849473,1.1317569000530057
53,0.9823362827301025,19.205130541956805,1.154050900018774
